,<pos_x>,<pos_y>,<pos_z>
0,88.017654,143.88911,83.259131
10,88.256278,143.93238,81.273889
20,89.994684,142.86687,83.474483
30,88.643929,142.81322,86.333256
40,85.554768,143.82509,86.991435
50,83.807754,143.8909,84.768013
60,83.172871,143.96709,81.67106
70,84.532234,145.02044,78.835115
80,88.614214,143.9973,78.296026
90,91.473359,143.94186,79.645917
100,93.211765,142.87634,81.846511
110,93.846648,142.80015,84.943464
120,92.376581,142.72487,88.794858
130,89.1595,142.71539,90.42283
140,86.061731,142.72756,91.058181
150,82.218375,143.79397,89.612028
160,80.471361,143.85979,87.388606
170,78.971579,144.96858,83.20277
180,79.329515,145.0335,80.224907
190,81.673089,145.07588,77.485224
200,85.009482,145.10699,74.864631
210,88.107251,145.09483,74.22928
220,91.950607,144.02841,75.675433
230,94.801144,142.97327,77.002496
240,96.428846,142.88581,80.218539
250,97.05512,141.80992,83.292663
260,96.577872,141.72337,87.263147
270,95.227117,141.66972,90.12192
280,92.883543,141.62734,92.861603
290,89.675071,142.61757,94.512404
300,86.696614,142.65137,94.155134
310,82.733946,143.69615,93.701602
320,79.874801,143.75159,92.351711
330,77.25428,143.85032,89.016578
340,75.635186,144.93747,85.823363
350,75.119615,145.0353,81.733789
360,76.47037,145.08895,78.875016
370,77.949046,146.16394,75.04645
380,80.173308,146.18468,73.299388
390,84.374599,145.18318,71.767678
400,87.472368,145.17101,71.132327
410,91.435036,144.12624,71.585859
420,94.285573,143.07109,72.912922
430,97.016797,141.99431,75.232605
440,99.75663,141.91722,77.575117
450,100.2722,141.8194,81.664691
460,100.89848,140.74351,84.738816
470,100.54915,141.67829,87.739507
480,99.079081,141.60301,91.590901
490,96.726899,140.56092,94.307756
500,93.518426,141.55115,95.958556
510,90.301345,141.54168,97.586528
520,86.219366,142.56482,98.125618
530,83.240909,142.59862,97.768348
540,79.397553,143.66504,96.322195
550,76.65772,143.74212,93.979683
560,74.910706,143.80793,91.756261
570,73.283004,143.89539,88.540218
580,71.783222,145.00418,84.354382
590,72.26047,145.09074,80.383898
600,72.618406,145.15566,77.406035
610,74.097082,146.23065,73.577469
620,77.433475,146.26176,70.956876
630,79.657737,146.2825,69.209814
640,83.867637,146.28071,67.700932
650,86.956797,145.26884,67.042753
660,90.919465,144.22406,67.496285
670,94.762821,143.15765,68.942438
680,97.613357,142.1025,70.2695
690,100.22527,141.00408,73.581805
700,101.97228,140.93826,75.805227
710,103.59138,139.85111,78.998442
720,104.11556,140.75298,83.110844
730,103.75762,140.68807,86.088707
740,103.28037,140.60151,90.059191
750,101.92962,140.54786,92.917964
760,99.586044,140.50548,95.657647
770,97.361782,140.48474,97.404709
780,94.025389,140.45363,100.0253
790,90.92762,140.46579,100.66065
800,86.84564,141.48893,101.19974
810,83.867183,141.52273,100.84247
820,79.904516,142.56751,100.38894
830,77.164683,142.64459,98.046429
840,73.432031,142.73295,95.584827
850,71.685017,142.79876,93.361405
860,70.065923,143.88592,90.16819
870,68.438221,143.97337,86.952147
880,67.931258,145.0709,82.885401
890,68.408506,145.15745,78.914917
900,69.887182,146.23244,75.086351
910,71.237937,146.28609,72.227578
920,73.581511,146.32847,69.487895
930,75.925085,146.37085,66.748212
940,80.134985,146.36906,65.23933
950,83.352066,146.37853,63.611358
960,87.434045,145.35539,63.072269
970,90.412502,145.32159,63.429539
980,94.255858,144.25517,64.875692
990,98.099214,143.18876,66.321845
1000,100.82183,141.11227,68.6187
1010,102.56024,140.04676,70.819294
1020,104.18794,139.9593,74.035337
1030,105.80703,138.87215,77.228552
1040,106.44191,138.79596,80.325505
1050,106.96609,139.69784,84.437907
1060,106.60816,139.63292,87.41577
1070,106.13091,139.54636,91.386254
1080,104.78015,139.49271,94.245027
1090,102.43658,139.45033,96.98471
1100,100.0844,138.40825,99.701565
1110,96.867318,138.39878,101.32954
1120,93.658845,139.38901,102.98034
1130,90.441764,139.37953,104.60831
1140,86.359784,140.40267,105.1474
1150,83.381327,140.43648,104.79013
1160,79.537971,141.50289,103.34398
1170,76.678826,141.55833,101.99408
1180,72.835471,142.62475,100.54793
1190,70.095638,142.70183,98.20542
1200,68.467936,142.78929,94.989377
1210,65.856023,143.88771,91.677072
1220,65.22114,143.9639,88.580119
1230,64.705569,144.06172,84.490545
1240,64.198606,145.15925,80.423799
1250,64.675854,145.24581,76.453315
1260,66.026609,145.29945,73.594542
1270,67.505285,146.37444,69.765976
1280,69.848859,146.41682,67.026293
1290,73.185252,146.44794,64.4057
1300,76.521645,146.47905,61.785107
1310,79.610805,145.46718,61.126928
1320,83.820705,145.46539,59.618046
1330,87.911293,145.44195,59.101785
1340,90.88975,145.40815,59.459055
1350,94.733106,144.34173,60.905208
1360,98.576462,143.27532,62.351361
1370,101.30769,142.19853,64.671044
1380,104.03891,141.12175,66.990728
1390,105.6494,139.03489,70.161115
1400,107.2771,138.94743,73.377158
1410,108.89619,137.86028,76.570373
1420,109.53108,137.78409,79.667326
1430,110.17457,138.70761,82.787107
1440,109.68871,137.62135,86.734763
1450,109.33938,138.55613,89.735454
1460,107.86071,137.48114,93.56402
1470,106.50995,137.4275,96.422793
1480,104.16638,137.38511,99.162476
1490,101.8228,137.34273,101.90216
1500,99.598542,137.32199,103.64922
1510,96.381461,137.31252,105.27719
1520,93.172989,138.30275,106.92799
1530,90.07522,138.31491,107.56334
1540,85.99324,139.33805,108.10243
1550,82.030572,140.38283,107.6489
1560,79.060723,141.41633,107.31446
1570,75.208759,141.48305,105.84548
1580,72.349614,141.53849,104.49559
1590,69.609781,141.61557,102.15308
1600,66.997869,142.714,98.840771
1610,64.258036,142.79108,96.498259
1620,62.749646,142.90018,92.289595
1630,61.130552,143.98733,89.09638
1640,60.614981,144.08516,85.006806
1650,60.972917,144.15007,82.028943
1660,61.450165,144.23663,78.058459
1670,61.936021,145.32289,74.110803
1680,63.406088,145.39818,70.259409
1690,64.756843,145.45183,67.400636
1700,68.212548,145.50458,63.787422
1710,70.556122,145.54696,61.047739
1720,73.781812,146.55613,59.442595
1730,76.990284,145.5659,57.791795
1740,81.191576,144.56441,56.260085
1750,85.282164,144.54097,55.743824
1760,88.379933,144.52881,55.108473
1770,92.231897,144.46209,56.577454
1780,96.194565,143.41732,57.030986
1790,100.04653,143.3506,58.499967
1800,102.77775,142.27382,60.81965
1810,105.50898,141.19703,63.139334
1820,108.11228,139.09891,66.428811
1830,109.73138,138.01175,69.622026
1840,111.35047,136.92459,72.81524
1850,111.98535,136.84841,75.912193
1860,112.62024,136.77222,79.009146
1870,113.13581,136.6744,83.09872
1880,113.77069,136.59821,86.195673
1890,113.29344,136.51166,90.166157
1900,111.94269,136.45801,93.02493
1910,110.59193,136.40436,95.883703
1920,109.12186,136.32907,99.735097
1930,106.77829,136.28669,102.47478
1940,103.56121,136.27722,104.10275
1950,101.21764,136.23484,106.84244
1960,98.000555,136.22536,108.47041
1970,94.792082,137.21559,110.12121
1980,91.694313,137.22776,110.75656
1990,87.612334,138.2509,111.29565
2000,84.633877,138.2847,110.93838
2010,80.551897,139.30784,111.47747
2020,76.708541,140.37425,110.03131
2030,73.849396,140.4297,108.68142
2040,69.997432,140.49641,107.21244
2050,67.266207,141.57319,104.89276
2060,64.526374,141.65028,102.55025
2070,61.914462,142.7487,99.237942
2080,60.28676,142.83616,96.021899
2090,58.650449,141.92391,92.783027
2100,57.150668,143.0327,88.597192
2110,56.515785,143.10889,85.500239
2120,56.993033,143.19545,81.529755
2130,57.478889,144.2817,77.582099
2140,57.956137,144.36826,73.611615
2150,59.426204,144.44355,69.760221
2160,60.896271,144.51884,65.908827
2170,63.248453,145.56092,63.191972
2180,66.576238,144.59233,60.548551
2190,68.92842,145.63441,57.831696
2200,72.256205,144.66582,55.188275
2210,76.338185,143.64268,54.649186
2220,79.555266,143.65216,53.021214
2230,83.645854,143.62872,52.504953
2240,87.736442,143.60529,51.988692
2250,91.699109,142.56051,52.442223
2260,95.670385,142.51544,52.918583
2270,98.52953,142.46,54.268474
2280,102.37289,141.39358,55.714627
2290,105.11272,141.3165,58.057139
2300,107.84394,140.23971,60.376823
2310,110.44725,138.14159,63.6663
2320,112.06634,137.05443,66.859514
2330,113.68544,135.96727,70.052729
2340,115.31314,135.87982,73.268772
2350,115.94802,135.80363,76.365725
2360,116.46359,135.70581,80.455299
2370,117.09847,135.62962,83.552252
2380,116.62123,135.54307,87.522736
2390,116.26329,135.47815,90.500599
2400,114.79322,135.40286,94.351993
2410,113.44247,135.34921,97.210766
2420,112.09171,135.29556,100.06954
2430,109.74814,135.25318,102.80922
2440,107.40457,135.2108,105.54891
2450,105.06099,135.16842,108.28859
2460,101.84391,135.15895,109.91656
2470,98.62683,135.14948,111.54453
2480,95.529061,135.16164,112.17988
2490,92.320588,136.15187,113.83068
2500,88.23,136.17531,114.34694
2510,85.140839,137.18717,115.00512
2520,81.178172,138.23195,114.55159
2530,77.206896,138.27702,114.07523
2540,73.36354,139.34344,112.62908
2550,70.504395,139.39888,111.27919
2560,67.764562,139.47597,108.93668
2570,63.921206,140.54238,107.49052
2580,61.300685,140.6411,104.15539
2590,58.680164,140.73982,100.82026
2600,57.06107,141.82698,97.627042
2610,55.42476,140.91473,94.388171
2620,54.909189,141.01256,90.298597
2630,53.290095,142.09971,87.105382
2640,53.767343,142.18627,83.134898
2650,53.251772,142.2841,79.045324
2660,53.737629,143.37035,75.097669
2670,54.214877,143.45691,71.127185
2680,56.677763,143.52093,67.394881
2690,58.037126,144.57428,64.558936
2700,60.500012,144.6383,60.826632
2710,62.834978,143.68098,58.064121
2720,66.171371,143.71209,55.443528
2730,69.507764,143.7432,52.822935
2740,72.596924,142.73133,52.164755
2750,76.798216,141.72984,50.633045
2760,79.895985,141.71767,49.997694
2770,83.977965,140.69453,49.458605
2780,88.068553,140.6711,48.942344
2790,92.048437,141.62573,49.441532
2800,96.011105,140.58095,49.895064
2810,98.87025,140.52551,51.244955
