,<pos_x>,<pos_y>,<pos_z>
0,88.017654,143.88911,83.259131
1,88.071787,143.7922,83.237149
2,88.093434,143.9519,83.168331
3,88.063898,143.81981,83.317563
4,88.066131,143.97354,83.23847
5,88.099804,143.9407,83.302861
6,88.074268,143.94095,83.318852
7,87.973951,143.88182,83.321619
8,88.07221,143.8834,83.28435
9,88.028159,143.86602,83.277468
10,88.256278,143.93238,81.273889
11,88.176467,144.016,81.305591
12,88.293064,143.93797,81.229345
13,88.310326,143.89644,81.247644
14,88.219317,143.96483,81.340796
15,88.30954,143.9924,81.32547
16,88.295247,143.85485,81.258936
17,88.177126,144.00335,81.224019
18,88.309628,144.01482,81.286713
19,88.273387,143.93668,81.210105
20,89.994684,142.86687,83.474483
21,90.092277,142.77197,83.509198
22,90.064656,142.94996,83.569872
23,90.078525,142.96276,83.511576
24,89.934541,142.83168,83.389285
25,90.083715,142.79294,83.525017
26,90.09409,142.94152,83.41156
27,89.945265,142.81749,83.459886
28,90.023149,142.85375,83.483482
29,89.973537,142.80753,83.421793
30,88.643929,142.81322,86.333256
31,88.577094,142.75802,86.235219
32,88.589913,142.84836,86.30149
33,88.734884,142.7216,86.243871
34,88.657277,142.85565,86.325588
35,88.553918,142.83514,86.233372
36,88.719778,142.72676,86.379814
37,88.698388,142.79715,86.4326
38,88.728177,142.75537,86.269762
39,88.627044,142.78196,86.413422
40,85.554768,143.82509,86.991435
41,85.543448,143.81323,86.959646
42,85.637364,143.88604,86.997386
43,85.465209,143.92246,87.039219
44,85.500182,143.77885,86.941686
45,85.6274,143.91304,87.065428
46,85.646,143.89188,87.027818
47,85.582251,143.82667,87.050282
48,85.616175,143.83348,86.956724
49,85.50894,143.88625,87.038364
50,83.807754,143.8909,84.768013
51,83.855958,143.87562,84.739019
52,83.882609,143.90501,84.735929
53,83.865104,143.8945,84.731985
54,83.817906,143.85761,84.819312
55,83.768909,143.8863,84.669109
56,83.723371,143.83305,84.707436
57,83.816705,143.96103,84.76574
58,83.761037,143.79583,84.811311
59,83.732447,143.79187,84.794705
60,83.172871,143.96709,81.67106
61,83.089717,143.95001,81.6443
62,83.217119,143.89981,81.613273
63,83.15338,143.9403,81.61937
64,83.149908,144.05158,81.751577
65,83.157021,144.05254,81.573898
66,83.192624,144.02477,81.768943
67,83.117675,144.01167,81.592605
